time,Ask_Price_1,Ask_Volume_1,Bid_Price_1,Bid_Volume_1,Ask_Price_2,Ask_Volume_2,Bid_Price_2,Bid_Volume_2,Ask_Price_3,Ask_Volume_3,Bid_Price_3,Bid_Volume_3,Ask_Price_4,Ask_Volume_4,Bid_Price_4,Bid_Volume_4,Ask_Price_5,Ask_Volume_5,Bid_Price_5,Bid_Volume_5,Ask_Price_6,Ask_Volume_6,Bid_Price_6,Bid_Volume_6,Ask_Price_7,Ask_Volume_7,Bid_Price_7,Bid_Volume_7,Ask_Price_8,Ask_Volume_8,Bid_Price_8,Bid_Volume_8,Ask_Price_9,Ask_Volume_9,Bid_Price_9,Bid_Volume_9,Ask_Price_10,Ask_Volume_10,Bid_Price_10,Bid_Volume_10
34200.4905,1753626,222,1753326,55,1753626,404,1753226,168,1753726,749,1753126,337,1753826,1077,1752926,297,1754026,1169,1752926,265,1754026,1144,1752826,271,1754126,2115,1752626,354,1754226,1984,1752526,469,1754426,2153,1752526,967,1754526,2249,1752426,660
34200.5168,1751289,334,1750889,83,1751289,528,1750889,237,1751389,765,1750789,357,1751589,850,1750589,255,1751589,973,1750589,434,1751789,1962,1750389,678,1751789,1954,1750389,328,1751989,1895,1750189,739,1751989,2413,1750189,430,1752089,2054,1749989,425
34200.5296,1750586,193,1750186,44,1750686,576,1750186,135,1750786,643,1749986,263,1750786,782,1749886,312,1750986,1403,1749786,268,1751086,1548,1749786,571,1751086,1948,1749586,676,1751286,1839,1749486,489,1751386,2313,1749386,940,1751486,3456,1749286,1091
34200.5675,1749156,196,1748856,60,1749256,476,1748756,134,1749356,901,1748756,138,1749556,824,1748556,420,1749656,1394,1748556,526,1749656,1517,1748356,524,1749756,1448,1748356,406,1749856,1565,1748156,753,1749956,1904,1748156,575,1750056,3073,1747956,565
34200.6956,1749787,278,1749387,87,1749887,604,1749287,168,1749887,931,1749187,149,1749987,776,1749187,238,1750087,1197,1749087,493,1750287,1911,1748987,334,1750287,1886,1748787,751,1750487,1575,1748787,876,1750487,2714,1748687,920,1750587,3469,1748487,449
34200.7477,1748610,300,1748210,67,1748610,463,1748110,204,1748710,707,1748010,296,1748910,1041,1747910,354,1748910,950,1747910,235,1749110,1893,1747710,525,1749210,1928,1747710,691,1749310,1523,1747510,607,1749410,2810,1747410,904,1749410,2185,1747410,416
34200.7581,1746734,194,1746334,67,1746734,624,1746334,152,1746934,817,1746134,258,1746934,951,1746034,198,1747034,1060,1745934,564,1747234,1209,1745834,412,1747334,1814,1745734,373,1747334,2105,1745734,612,1747434,2185,1745634,904,1747534,3155,1745434,1058
34200.8166,1748783,259,1748583,50,1748883,441,1748483,119,1749083,947,1748383,271,1749183,766,1748283,307,1749183,1527,1748083,514,1749283,1517,1748083,557,1749383,2213,1747983,729,1749483,2742,1747883,656,1749583,3010,1747683,870,1749783,3056,1747583,610
34200.8454,1748572,217,1748372,77,1748772,593,1748172,88,1748772,765,1748072,294,1748972,815,1748072,187,1748972,964,1747972,390,1749172,1082,1747872,596,1749172,2250,1747672,777,1749372,2109,1747672,529,1749472,2261,1747472,931,1749572,2423,1747472,1188
34200.8912,1748774,274,1748574,42,1748974,518,1748374,135,1748974,621,1748274,127,1749074,999,1748274,256,1749274,1027,1748174,298,1749374,1795,1748074,703,1749474,2198,1747974,571,1749574,2039,1747774,880,1749674,2609,1747674,431,1749774,2990,1747674,819
34200.9584,1746992,327,1746692,40,1746992,601,1746592,91,1747192,929,1746392,357,1747292,1022,1746292,168,1747392,1354,1746192,303,1747492,1277,1746092,455,1747592,1650,1746092,622,1747692,1661,1745892,737,1747692,2597,1745792,614,1747792,3387,1745792,771
34200.9956,1746245,292,1745945,47,1746345,606,1745945,179,1746545,648,1745845,239,1746645,938,1745645,400,1746645,1599,1745545,312,1746845,1266,1745445,714,1746845,1854,1745445,792,1747045,2335,1745245,330,1747045,2861,1745145,497,1747145,2456,1745145,609
34201.0807,1746618,251,1746218,77,1746718,626,1746218,95,1746718,845,1746118,265,1746818,825,1746018,383,1746918,968,1745918,212,1747118,1408,1745718,384,1747118,1759,1745718,597,1747318,2081,1745618,637,1747418,1751,1745518,782,1747418,3287,1745418,596
34201.1457,1745030,247,1744830,59,1745130,448,1744730,194,1745330,793,1744530,159,1745330,1221,1744430,358,1745530,919,1744330,344,1745530,1651,1744230,348,1745630,1766,1744230,437,1745830,1861,1744130,361,1745830,2561,1744030,695,1746030,2357,1743830,563
34201.1944,1745679,335,1745479,101,1745779,492,1745379,212,1745879,803,1745179,343,1746079,1208,1745079,382,1746079,1667,1744979,505,1746279,1451,1744879,608,1746279,1610,1744879,811,1746379,2781,1744779,538,1746479,3038,1744679,954,1746579,2195,1744579,832
34201.2036,1744967,347,1744767,103,1745167,558,1744567,168,1745267,650,1744467,190,1745367,1084,1744367,459,1745467,1738,1744267,309,1745567,1151,1744167,256,1745667,2246,1744067,778,1745767,1464,1743967,419,1745767,2900,1743867,941,1745867,3070,1743867,531
34201.295,1744690,347,1744390,100,1744890,382,1744290,128,1744990,694,1744190,264,1744990,1154,1744090,340,1745190,1202,1744090,347,1745290,1237,1743990,516,1745390,1730,1743890,510,1745490,1699,1743790,491,1745490,1970,1743590,780,1745690,3422,1743590,1096
34201.4334,1744084,305,1743784,90,1744184,492,1743684,224,1744184,796,1743584,189,1744284,1243,1743484,311,1744384,1421,1743384,246,1744584,1256,1743284,491,1744584,1916,1743184,545,1744684,1603,1742984,793,1744784,2858,1742884,487,1744984,1979,1742784,1108
34201.4417,1746806,323,1746506,110,1746906,651,1746406,125,1747006,1027,1746206,323,1747006,881,1746206,216,1747206,983,1746106,381,1747306,1210,1746006,482,1747406,2388,1745806,339,1747506,2361,1745706,791,1747506,1780,1745706,863,1747706,3305,1745506,888
34201.4762,1746927,181,1746627,82,1747027,597,1746527,136,1747027,960,1746327,161,1747127,1230,1746227,284,1747227,1199,1746227,571,1747427,1436,1746127,280,1747527,1611,1745927,782,1747627,1764,1745927,617,1747627,2750,1745827,629,1747727,3490,1745727,672
34201.4922,1745593,253,1745293,83,1745593,379,1745193,133,1745693,692,1744993,344,1745893,969,1744893,264,1745893,1018,1744793,581,1745993,1371,1744693,611,1746093,2224,1744593,381,1746193,1901,1744593,406,1746393,2477,1744493,681,1746493,3023,1744293,923
34201.5634,1746889,336,1746489,72,1746889,673,1746489,203,1747089,599,1746389,324,1747089,732,1746189,405,1747289,937,1746089,477,1747389,2098,1745989,406,1747489,1733,1745889,627,1747589,2291,1745789,519,1747589,2305,1745689,939,1747789,2434,1745589,1185
34201.6284,1745333,333,1744933,108,1745433,371,1744933,171,1745433,925,1744833,210,1745533,1051,1744633,336,1745633,1534,1744533,467,1745733,2006,1744533,631,1745933,1640,1744433,411,1746033,1459,1744333,438,1746033,2047,1744133,565,1746133,1872,1744033,521
34201.637,1745678,309,1745478,75,1745878,610,1745378,151,1745878,572,1745278,306,1746078,921,1745078,177,1746078,1745,1745078,307,1746178,1891,1744978,592,1746278,1774,1744878,425,1746378,2229,1744678,727,1746478,1824,1744578,471,1746678,2144,1744578,540
34201.7428,1743100,87,1742900,102,1743300,188,1742800,269,1743400,286,1742600,337,1743400,598,1742600,589,1743500,523,1742400,408,1743700,669,1742300,891,1743700,1025,1742300,572,1743900,660,1742200,933,1743900,722,1742100,952,1744100,1034,1741900,1065
34201.7537,1741508,63,1741108,202,1741508,134,1741108,572,1741608,121,1740908,1000,1741708,466,1740808,1125,1741808,311,1740708,1651,1741908,486,1740608,1699,1742008,704,1740608,1578,1742108,604,1740408,1701,1742308,788,1740408,2705,1742408,887,1740308,2956
34201.8345,1741944,116,1741544,288,1742044,115,1741444,440,1742144,180,1741344,1011,1742244,273,1741244,800,1742344,404,1741144,993,1742344,260,1741144,1981,1742444,500,1740944,2210,1742544,609,1740844,2483,1742744,1039,1740844,2667,1742844,1001,1740744,2704
34201.8661,1743039,102,1742839,337,1743139,95,1742639,493,1743339,123,1742539,622,1743439,344,1742539,1100,1743439,510,1742439,1177,1743539,342,1742239,2099,1743639,301,1742239,1581,1743839,885,1742039,2678,1743939,495,1742039,1719,1743939,525,1741939,3084
34201.887,1743447,65,1743247,250,1743647,104,1743147,363,1743747,156,1743047,869,1743747,180,1742847,1294,1743947,344,1742847,1708,1744047,358,1742647,1892,1744047,811,1742647,2331,1744147,338,1742547,2173,1744347,637,1742447,2798,1744347,869,1742347,3338
34201.8966,1743458,111,1743258,143,1743558,193,1743158,271,1743658,256,1742958,320,1743858,549,1742858,516,1743958,639,1742758,482,1744058,503,1742658,859,1744158,619,1742658,1007,1744158,775,1742458,913,1744258,1285,1742458,1014,1744458,1108,1742358,1062
34201.9067,1743314,228,1742914,103,1743414,420,1742814,186,1743514,650,1742714,260,1743614,869,1742614,254,1743614,1511,1742614,452,1743814,1692,1742414,477,1743814,2224,1742414,723,1743914,2601,1742214,431,1744114,2726,1742214,660,1744214,2466,1742014,416
34201.962,1741332,81,1741032,316,1741432,198,1740932,670,1741532,252,1740932,577,1741732,312,1740832,889,1741732,429,1740632,1145,1741932,628,1740632,1594,1742032,420,1740532,1599,1742032,777,1740432,1658,1742132,860,1740232,3070,1742232,1037,1740132,2517
34202.0029,1740511,83,1740311,335,1740611,186,1740111,551,1740811,334,1740111,762,1740911,177,1739911,814,1740911,285,1739811,1331,1741111,573,1739811,1394,1741111,830,1739711,1747,1741211,456,1739511,1440,1741411,881,1739511,1974,1741411,971,1739411,2235
34202.0104,1740155,64,1739755,229,1740255,197,1739755,611,1740255,332,1739655,615,1740355,430,1739455,1275,1740555,519,1739455,1185,1740655,308,1739255,2026,1740755,816,1739255,1884,1740855,713,1739055,2045,1740955,1061,1739055,1867,1741055,476,1738955,3240
34202.0174,1741816,53,1741516,256,1741916,180,1741416,574,1742016,240,1741216,714,1742016,245,1741116,989,1742216,436,1741116,1747,1742216,677,1740916,1822,1742316,630,1740816,1314,1742416,840,1740716,2353,1742616,972,1740616,1757,1742616,651,1740516,2329
34202.0222,1742386,77,1742186,260,1742486,223,1741986,499,1742586,232,1741886,1006,1742786,282,1741886,1393,1742886,300,1741786,1085,1742986,673,1741686,1320,1743086,411,1741586,1599,1743186,327,1741486,2422,1743286,871,1741386,2799,1743386,1102,1741286,1831
34202.0913,1740125,51,1739825,260,1740325,104,1739825,625,1740325,312,1739625,627,1740525,408,1739625,990,1740625,450,1739525,1680,1740625,250,1739425,1687,1740725,627,1739225,1905,1740825,699,1739225,1582,1740925,408,1739125,3119,1741125,1023,1738925,2673
34202.1545,1740774,52,1740574,334,1740874,184,1740474,422,1741074,158,1740274,983,1741074,183,1740274,1361,1741174,542,1740174,1398,1741274,246,1739974,1357,1741474,738,1739874,2188,1741474,474,1739774,2455,1741674,905,1739774,2464,1741774,800,1739574,2789
34202.1585,1740439,99,1740239,280,1740539,217,1740039,660,1740639,129,1739939,644,1740739,457,1739939,1120,1740839,211,1739739,969,1741039,243,1739639,1815,1741039,662,1739539,1484,1741239,638,1739539,1467,1741339,947,1739439,1807,1741339,922,1739339,2508
34202.2006,1739701,89,1739501,340,1739901,225,1739401,402,1740001,149,1739201,881,1740001,228,1739201,1390,1740201,538,1739101,1446,1740201,347,1739001,1867,1740401,655,1738901,1456,1740401,400,1738801,2188,1740601,675,1738601,1944,1740701,444,1738501,3292
34202.206,1740760,99,1740560,221,1740960,148,1740460,516,1741060,170,1740260,970,1741160,204,1740260,1358,1741260,242,1740160,1597,1741260,331,1740060,2044,1741460,459,1739960,2179,1741460,422,1739760,2791,1741560,364,1739760,1671,1741760,538,1739560,2265
34202.324,1742507,70,1742207,247,1742507,120,1742107,562,1742607,319,1742007,794,1742807,279,1741907,1341,1742907,542,1741807,1196,1743007,391,1741707,1681,1743107,616,1741607,2282,1743107,728,1741407,1848,1743207,443,1741407,2879,1743407,525,1741207,1903
34202.4439,1743920,98,1743620,195,1744020,113,1743620,570,1744220,282,1743420,932,1744320,341,1743320,1285,1744420,566,1743320,1453,1744520,512,1743220,2061,1744520,660,1743020,1263,1744620,618,1742920,1845,1744820,433,1742920,2635,1744920,808,1742820,3423
34202.5048,1742967,93,1742767,212,1743067,168,1742667,456,1743167,208,1742467,799,1743367,331,1742367,906,1743367,461,1742367,1105,1743467,600,1742167,1309,1743567,568,1742167,1500,1743767,487,1742067,1450,1743867,402,1741867,1987,1743867,957,1741867,1852
34202.6361,1742757,109,1742557,345,1742857,118,1742357,513,1742957,256,1742357,975,1743157,432,1742157,1040,1743157,551,1742057,1547,1743357,453,1742057,1975,1743457,310,1741857,1955,1743457,597,1741757,1894,1743657,1068,1741757,2656,1743657,484,1741557,2107
34202.7205,1743543,111,1743143,319,1743643,141,1743043,390,1743643,225,1742943,612,1743843,334,1742843,734,1743843,580,1742743,1316,1744043,640,1742643,1695,1744143,425,1742643,2406,1744243,674,1742443,1544,1744243,694,1742443,2907,1744443,1097,1742343,3282
34202.8097,1745031,55,1744831,324,1745231,228,1744731,402,1745231,309,1744531,726,1745431,195,1744531,1023,1745431,419,1744331,1291,1745631,681,1744231,1758,1745731,606,1744131,2068,1745831,830,1744131,2230,1745831,846,1743931,1755,1745931,733,1743931,3304
34202.8528,1744593,97,1744393,274,1744793,231,1744193,417,1744893,348,1744193,556,1744993,440,1744093,997,1744993,361,1743993,1274,1745093,646,1743793,2049,1745293,477,1743693,1407,1745293,380,1743593,2343,1745393,559,1743593,2512,1745493,633,1743493,2667
34202.8721,1744668,88,1744268,229,1744768,101,1744268,440,1744868,210,1744068,1001,1744968,464,1743968,1169,1744968,597,1743868,1206,1745168,324,1743868,1706,1745168,466,1743668,1393,1745268,657,1743668,1806,1745468,1000,1743568,2425,1745568,1166,1743468,2936
34202.8854,1743261,92,1743061,311,1743461,89,1742961,554,1743461,215,1742861,625,1743661,413,1742661,971,1743761,403,1742561,1538,1743761,487,1742461,1413,1743961,404,1742461,1899,1744061,956,1742261,1558,1744061,450,1742261,2284,1744261,1138,1742161,2734
34202.9062,1741833,90,1741633,204,1742033,184,1741533,541,1742133,259,1741333,980,1742133,347,1741233,782,1742233,532,1741233,1579,1742333,690,1741033,1344,1742433,444,1741033,1702,1742533,583,1740933,2090,1742633,983,1740733,1925,1742733,694,1740733,2211
34202.9567,1743209,66,1742909,208,1743409,188,1742809,522,1743509,139,1742709,988,1743509,170,1742709,870,1743709,224,1742609,1683,1743809,374,1742509,1457,1743909,606,1742309,1950,1743909,361,1742209,2668,1744109,607,1742109,1928,1744209,887,1742109,2071
34202.9672,1745348,83,1745048,198,1745548,136,1744948,568,1745548,292,1744848,593,1745748,200,1744848,964,1745848,401,1744748,1738,1745848,617,1744648,2059,1746048,593,1744448,2341,1746048,410,1744348,1643,1746148,409,1744348,2497,1746248,783,1744248,1854
34202.9831,1745497,106,1745297,277,1745597,202,1745097,580,1745697,255,1745097,939,1745897,268,1744997,889,1745997,576,1744797,1210,1745997,281,1744697,1195,1746197,727,1744597,2258,1746297,951,1744497,2404,1746297,812,1744497,2608,1746397,512,1744297,2118
34203.0157,1747152,88,1746952,254,1747252,143,1746752,528,1747352,346,1746752,679,1747552,435,1746552,1353,1747652,301,1746552,1002,1747652,574,1746352,1345,1747752,536,1746252,1913,1747952,912,1746252,1901,1747952,376,1746052,1652,1748052,864,1746052,3358
34203.03,1748014,98,1747614,298,1748114,118,1747514,443,1748114,293,1747514,969,1748314,184,1747414,826,1748314,346,1747214,1632,1748414,259,1747114,1876,1748614,828,1747114,1956,1748614,649,1747014,2796,1748714,633,1746814,1953,1748914,1163,1746814,2622
34203.0754,1747272,95,1746972,196,1747372,168,1746972,492,1747472,255,1746772,1035,1747672,391,1746772,1108,1747672,464,1746572,1734,1747872,402,1746472,1349,1747972,322,1746472,1906,1748072,747,1746372,1850,1748172,870,1746172,2730,1748272,902,1746172,2388
34203.2047,1748140,95,1747840,348,1748140,83,1747640,557,1748340,131,1747640,973,1748340,300,1747540,852,1748540,367,1747440,1319,1748540,470,1747340,1253,1748640,288,1747240,1822,1748740,796,1747140,2393,1748940,926,1747040,2849,1748940,1103,1746940,3243
34203.2746,1750559,109,1750159,267,1750659,189,1750059,530,1750759,288,1749959,673,1750759,264,1749859,1031,1750859,359,1749759,1687,1751059,555,1749659,1565,1751159,659,1749659,2354,1751259,786,1749459,1516,1751359,611,1749359,2612,1751359,1184,1749359,2159
34203.3305,1750678,89,1750378,312,1750778,165,1750378,372,1750878,175,1750178,929,1750978,186,1750078,1308,1751078,292,1749978,1565,1751178,295,1749878,1088,1751378,339,1749878,2213,1751378,643,1749678,2357,1751478,781,1749578,1631,1751578,862,1749578,3365
34203.3752,1753144,96,1752944,303,1753344,125,1752844,596,1753344,260,1752744,751,1753544,334,1752644,901,1753544,262,1752444,1025,1753644,473,1752344,1451,1753744,440,1752244,2206,1753844,399,1752244,2733,1753944,941,1752044,2456,1754044,554,1751944,3324
34203.4097,1749850,92,1749450,201,1749850,206,1749450,564,1749950,326,1749250,941,1750150,448,1749150,1277,1750150,578,1749150,1136,1750350,469,1748950,1333,1750350,284,1748850,2154,1750550,925,1748850,2403,1750550,909,1748750,2700,1750650,883,1748550,1997
34203.421,1751180,59,1750980,309,1751380,174,1750780,668,1751480,202,1750780,679,1751480,248,1750680,953,1751580,247,1750480,939,1751780,617,1750380,1349,1751780,353,1750380,2049,1751980,598,1750280,2115,1752080,876,1750180,2696,1752080,1030,1749980,2844
34203.5346,1751684,40,1751384,230,1751784,86,1751284,412,1751784,206,1751184,752,1751984,292,1750984,1176,1751984,210,1750884,1347,1752184,258,1750884,1207,1752284,476,1750684,1680,1752284,711,1750684,1890,1752384,619,1750584,2933,1752484,789,1750484,3390
34203.5499,1751551,92,1751251,199,1751651,193,1751051,691,1751751,219,1751051,591,1751851,319,1750951,1149,1751851,240,1750751,1528,1752051,369,1750751,1752,1752051,699,1750551,1963,1752151,950,1750451,2431,1752351,566,1750351,3131,1752351,526,1750351,3156
34203.5556,1751869,58,1751669,344,1751969,86,1751569,587,1752069,303,1751369,949,1752169,395,1751269,756,1752269,240,1751269,1167,1752369,444,1751069,1902,1752569,552,1750969,1343,1752669,877,1750969,1741,1752769,985,1750869,2261,1752869,970,1750669,2939
34203.626,1749377,112,1749077,240,1749477,87,1748977,440,1749677,128,1748977,738,1749677,430,1748877,1309,1749777,593,1748777,1512,1749977,657,1748577,1140,1750077,523,1748477,1429,1750077,656,1748377,1597,1750277,790,1748277,2901,1750377,638,1748177,3443
34203.6366,1749364,72,1749064,192,1749464,168,1749064,605,1749564,313,1748964,984,1749664,353,1748864,1156,1749764,290,1748664,1391,1749964,555,1748564,1484,1749964,749,1748464,1265,1750164,769,1748464,2682,1750164,700,1748364,2240,1750364,655,1748164,2804
34203.6609,1750262,72,1749862,313,1750362,200,1749762,499,1750462,267,1749662,990,1750462,195,1749562,1387,1750662,597,1749462,1744,1750762,388,1749462,1682,1750762,777,1749362,1943,1750962,805,1749162,2491,1751062,713,1749062,2850,1751062,803,1748962,2614
34203.6633,1752534,118,1752234,282,1752734,80,1752134,657,1752734,156,1752034,796,1752934,162,1751934,1125,1752934,400,1751934,1041,1753034,519,1751734,1555,1753134,729,1751734,2101,1753334,504,1751634,2659,1753334,365,1751434,2919,1753434,953,1751334,3377
34203.6717,1752213,130,1751913,109,1752213,217,1751713,189,1752313,398,1751713,334,1752513,536,1751513,459,1752613,651,1751513,600,1752713,799,1751313,715,1752713,1014,1751213,768,1752913,651,1751113,1176,1752913,1297,1751113,1205,1753013,1112,1750913,1274
34203.6822,1751387,45,1751087,332,1751387,226,1750987,412,1751487,234,1750887,918,1751687,409,1750787,749,1751687,468,1750687,1287,1751887,555,1750487,1785,1751987,696,1750387,1631,1751987,328,1750387,1990,1752187,661,1750287,2287,1752287,448,1750187,1972
34203.686,1750995,74,1750695,234,1751095,173,1750495,502,1751095,357,1750495,690,1751195,438,1750395,1149,1751295,403,1750195,1225,1751395,596,1750095,1256,1751595,747,1750095,1352,1751695,800,1749895,2679,1751795,1013,1749795,1845,1751795,1186,1749795,3179
34203.7404,1752492,93,1752292,264,1752592,217,1752192,557,1752792,157,1752092,909,1752792,459,1751992,1332,1752892,583,1751792,1294,1752992,696,1751792,1109,1753192,606,1751592,1534,1753292,776,1751492,1796,1753292,949,1751392,2747,1753392,681,1751292,3281
34203.8321,1753371,45,1752971,293,1753471,97,1752871,592,1753571,294,1752771,921,1753571,387,1752771,954,1753771,279,1752571,1051,1753771,572,1752471,1208,1753971,476,1752371,2180,1753971,697,1752271,1505,1754071,459,1752271,2162,1754171,1037,1752071,3219
34203.8565,1752848,89,1752648,339,1752948,82,1752548,576,1753048,168,1752348,886,1753248,252,1752248,1392,1753248,324,1752148,1351,1753348,437,1752048,1158,1753548,397,1752048,1761,1753648,882,1751948,1480,1753748,608,1751848,2558,1753748,526,1751748,2802
34203.9613,1753992,103,1753692,202,1753992,139,1753592,391,1754192,120,1753392,847,1754292,173,1753392,1275,1754292,306,1753292,1496,1754392,548,1753192,2054,1754492,728,1753092,2001,1754692,721,1752892,2129,1754692,673,1752792,1916,1754892,1148,1752792,3102
34203.9743,1754355,65,1754055,249,1754455,120,1753955,698,1754555,179,1753855,657,1754655,300,1753755,1127,1754855,474,1753655,1389,1754955,249,1753655,2006,1754955,700,1753455,1824,1755055,419,1753455,2762,1755255,533,1753255,3010,1755255,621,1753255,2408
34203.995,1756145,124,1755745,101,1756145,180,1755745,218,1756345,326,1755545,283,1756445,428,1755545,520,1756445,721,1755445,485,1756645,746,1755245,676,1756745,795,1755145,837,1756745,856,1755145,738,1756945,950,1755045,1335,1757045,1053,1754945,940
34204.0042,1755493,90,1755093,326,1755493,220,1755093,551,1755593,256,1754993,880,1755693,455,1754793,1294,1755793,563,1754693,1077,1755893,260,1754693,1112,1756093,684,1754593,1607,1756093,649,1754493,1443,1756293,801,1754293,2594,1756293,860,1754193,3117
34204.0536,1755269,107,1754969,237,1755369,103,1754869,394,1755569,215,1754869,1033,1755669,344,1754669,967,1755769,306,1754669,1076,1755769,337,1754569,1753,1755969,296,1754469,2263,1755969,453,1754269,2699,1756169,480,1754269,1977,1756169,499,1754169,2443
34204.0818,1755059,91,1754859,271,1755159,192,1754659,485,1755259,133,1754659,1049,1755359,412,1754559,1000,1755559,295,1754359,1701,1755559,400,1754259,1222,1755659,420,1754159,1613,1755859,744,1754059,2279,1755859,997,1754059,2707,1756059,912,1753959,2805
34204.1303,1753347,78,1753147,229,1753547,125,1752947,366,1753647,279,1752947,622,1753747,391,1752747,846,1753847,249,1752747,954,1753847,594,1752647,1346,1753947,738,1752447,1805,1754147,675,1752447,2595,1754247,409,1752347,3098,1754247,560,1752147,3457
34204.203,1754208,44,1753908,228,1754308,207,1753808,533,1754408,295,1753708,967,1754408,473,1753608,984,1754508,429,1753508,1399,1754708,454,1753408,1468,1754808,391,1753208,1864,1754808,649,1753208,2558,1754908,875,1753008,2427,1755008,1158,1753008,1967
34204.2435,1754823,116,1754623,234,1755023,107,1754423,590,1755023,172,1754423,879,1755123,336,1754323,1396,1755323,463,1754223,930,1755423,600,1754023,1141,1755423,424,1754023,1274,1755523,938,1753923,2089,1755623,476,1753723,1736,1755823,707,1753723,2082
34204.2939,1755183,43,1754983,313,1755383,94,1754883,627,1755383,147,1754683,582,1755483,413,1754583,909,1755683,211,1754483,1309,1755683,484,1754483,2019,1755883,570,1754283,2068,1755883,359,1754283,1732,1756083,512,1754083,2318,1756183,663,1754083,3495
